gtm,year,game_date,h,hr,er,so,era,era_cum,h_cum,hr_cum,er_cum,so_cum
149,1965,1965-09-18,4,0,0,6,2.98,2.98,1142,123,448,993
150,1965,1965-09-19,7,0,0,2,2.96,2.96,1149,123,448,995
151,1965,1965-09-21,6,0,0,7,2.94,2.94,1155,123,448,1002
152,1965,1965-09-22,13,3,6,7,2.95,2.95,1168,126,454,1009
153,1965,1965-09-24,8,0,3,3,2.95,2.95,1176,126,457,1012
154,1965,1965-09-25,5,0,0,12,2.94,2.94,1181,126,457,1024
155,1965,1965-09-26,5,0,0,4,2.92,2.92,1186,126,457,1028
156,1965,1965-09-27,11,0,1,1,2.9,2.9,1197,126,458,1029
157,1965,1965-09-28,8,0,1,7,2.89,2.89,1205,126,459,1036
158,1965,1965-09-29,2,0,0,13,2.87,2.87,1207,126,459,1049
159,1965,1965-09-30,3,0,0,8,2.85,2.85,1210,126,459,1057
160,1965,1965-10-01,6,0,1,3,2.84,2.84,1216,126,460,1060
161,1965,1965-10-02,4,1,1,13,2.83,2.83,1220,127,461,1073
162,1965,1965-10-03,3,0,0,6,2.81,2.81,1223,127,461,1079
1,1966,1966-04-12,6,0,1,5,1.0,1.0,6,0,1,5
2,1966,1966-04-13,9,2,3,7,2.0,2.0,15,2,4,12
3,1966,1966-04-14,9,1,3,9,2.33,2.33,24,3,7,21
4,1966,1966-04-15,9,0,2,6,2.25,2.25,33,3,9,27
5,1966,1966-04-16,8,0,1,9,2.0,2.0,41,3,10,36
6,1966,1966-04-17,7,0,0,7,1.67,1.67,48,3,10,43
7,1966,1966-04-18,9,0,3,5,1.86,1.86,57,3,13,48
8,1966,1966-04-19,10,2,6,2,2.41,2.41,67,5,19,50
9,1966,1966-04-20,7,0,2,7,2.36,2.36,74,5,21,57
10,1966,1966-04-22,6,0,1,11,2.22,2.22,80,5,22,68
11,1966,1966-04-23,7,1,2,6,2.23,2.23,87,6,24,74
12,1966,1966-04-24,6,0,2,8,2.23,2.23,93,6,26,82
13,1966,1966-04-25,5,0,2,7,2.21,2.21,98,6,28,89
14,1966,1966-04-26,13,0,2,8,2.2,2.2,111,6,30,97
15,1966,1966-04-27,5,1,1,10,2.11,2.11,116,7,31,107
16,1966,1966-04-28,6,1,2,10,2.11,2.11,122,8,33,117
17,1966,1966-04-29,4,0,2,7,2.1,2.1,126,8,35,124
18,1966,1966-04-30,6,1,3,9,2.15,2.15,132,9,38,133
19,1966,1966-05-01,5,0,0,5,2.04,2.04,137,9,38,138
20,1966,1966-05-03,9,1,5,4,2.2,2.2,146,10,43,142
21,1966,1966-05-04,7,1,3,4,2.25,2.25,153,11,46,146
22,1966,1966-05-05,15,0,8,4,2.51,2.51,168,11,54,150
23,1966,1966-05-06,10,2,7,8,2.72,2.72,178,13,61,158
24,1966,1966-05-07,4,1,2,3,2.69,2.69,182,14,63,161
25,1966,1966-05-08,6,0,2,3,2.68,2.68,188,14,65,164
26,1966,1966-05-10,6,0,1,10,2.61,2.61,194,14,66,174
27,1966,1966-05-11,6,0,0,8,2.51,2.51,200,14,66,182
28,1966,1966-05-12,11,1,5,3,2.61,2.61,211,15,71,185
29,1966,1966-05-13,6,0,4,5,2.67,2.67,217,15,75,190
30,1966,1966-05-14,7,1,1,9,2.61,2.61,224,16,76,199
31,1966,1966-05-15,6,0,1,7,2.56,2.56,230,16,77,206
32,1966,1966-05-17,14,0,0,12,2.44,2.44,244,16,77,218
33,1966,1966-05-18,7,0,3,8,2.46,2.46,251,16,80,226
34,1966,1966-05-19,3,0,0,10,2.39,2.39,254,16,80,236
35,1966,1966-05-20,9,0,6,5,2.49,2.49,263,16,86,241
36,1966,1966-05-21,12,0,4,17,2.51,2.51,275,16,90,258
37,1966,1966-05-22,7,0,1,2,2.47,2.47,282,16,91,260
38,1966,1966-05-23,8,0,2,7,2.46,2.46,290,16,93,267
39,1966,1966-05-24,9,0,2,10,2.45,2.45,299,16,95,277
40,1966,1966-05-25,8,0,1,6,2.41,2.41,307,16,96,283
41,1966,1966-05-27,3,0,0,6,2.35,2.35,310,16,96,289
42,1966,1966-05-28,3,0,0,10,2.29,2.29,313,16,96,299
43,1966,1966-05-29,12,1,6,6,2.38,2.38,325,17,102,305
44,1966,1966-05-30,9,3,6,7,2.46,2.46,334,20,108,312
45,1966,1966-05-31,9,0,2,4,2.45,2.45,343,20,110,316
46,1966,1966-06-01,7,0,0,9,2.4,2.4,350,20,110,325
47,1966,1966-06-02,7,0,0,8,2.35,2.35,357,20,110,333
48,1966,1966-06-03,13,1,6,4,2.43,2.43,370,21,116,337
49,1966,1966-06-04,12,0,3,5,2.44,2.44,382,21,119,342
50,1966,,5,1,1,9,2.41,2.41,387,22,120,351
51,1966,,8,0,2,1,2.41,2.41,395,22,122,352
52,1966,1966-06-07,11,2,5,7,2.45,2.45,406,24,127,359
53,1966,1966-06-08,9,1,7,7,2.54,2.54,415,25,134,366
54,1966,1966-06-10,4,0,1,11,2.51,2.51,419,25,135,377
55,1966,1966-06-11,8,1,2,3,2.5,2.5,427,26,137,380
56,1966,1966-06-12,6,1,2,5,2.5,2.5,433,27,139,385
57,1966,1966-06-13,14,1,8,6,2.59,2.59,447,28,147,391
58,1966,1966-06-14,8,1,3,6,2.59,2.59,455,29,150,397
59,1966,1966-06-15,13,0,4,8,2.62,2.62,468,29,154,405
60,1966,1966-06-16,9,0,5,7,2.66,2.66,477,29,159,412
61,1966,1966-06-17,7,1,4,9,2.68,2.68,484,30,163,421
62,1966,1966-06-18,4,1,2,10,2.67,2.67,488,31,165,431
63,1966,1966-06-19,8,0,1,4,2.64,2.64,496,31,166,435
64,1966,1966-06-20,8,0,3,1,2.65,2.65,504,31,169,436
65,1966,1966-06-21,12,1,6,4,2.71,2.71,516,32,175,440
66,1966,1966-06-22,10,1,2,6,2.7,2.7,526,33,177,446
67,1966,1966-06-24,5,0,0,2,2.66,2.66,531,33,177,448
68,1966,,9,3,5,2,2.7,2.7,540,36,182,450
69,1966,,9,0,4,5,2.72,2.72,549,36,186,455
70,1966,1966-06-26,7,0,1,11,2.7,2.7,556,36,187,466
71,1966,1966-06-27,11,1,3,8,2.7,2.7,567,37,190,474
72,1966,1966-06-28,9,1,3,4,2.71,2.71,576,38,193,478
73,1966,1966-06-29,15,1,5,4,2.74,2.74,591,39,198,482
74,1966,1966-07-01,6,1,2,10,2.73,2.73,597,40,200,492
75,1966,1966-07-02,9,1,2,10,2.72,2.72,606,41,202,502
76,1966,1966-07-03,6,1,2,6,2.71,2.71,612,42,204,508
77,1966,1966-07-04,5,0,1,10,2.69,2.69,617,42,205,518
78,1966,1966-07-05,10,0,0,8,2.66,2.66,627,42,205,526
79,1966,1966-07-06,4,0,0,5,2.62,2.62,631,42,205,531
80,1966,1966-07-07,5,0,2,9,2.62,2.62,636,42,207,540
81,1966,1966-07-08,9,0,5,10,2.65,2.65,645,42,212,550
82,1966,1966-07-09,8,3,4,3,2.66,2.66,653,45,216,553
83,1966,1966-07-10,7,0,2,6,2.65,2.65,660,45,218,559
84,1966,1966-07-14,8,1,2,11,2.65,2.65,668,46,220,570
85,1966,1966-07-15,13,0,2,3,2.63,2.63,681,46,222,573
86,1966,1966-07-16,5,0,1,11,2.61,2.61,686,46,223,584
87,1966,,6,0,3,3,2.62,2.62,692,46,226,587
88,1966,,6,0,1,7,2.6,2.6,698,46,227,594
89,1966,1966-07-18,10,0,3,3,2.61,2.61,708,46,230,597
90,1966,1966-07-20,13,1,8,5,2.67,2.67,721,47,238,602
91,1966,1966-07-21,10,1,3,12,2.67,2.67,731,48,241,614
92,1966,1966-07-22,7,1,3,6,2.67,2.67,738,49,244,620
93,1966,1966-07-23,8,0,1,7,2.66,2.66,746,49,245,627
94,1966,,6,0,0,10,2.63,2.63,752,49,245,637
95,1966,,5,0,0,4,2.6,2.6,757,49,245,641
96,1966,1966-07-25,7,2,3,5,2.6,2.6,764,51,248,646
97,1966,1966-07-26,10,0,2,4,2.6,2.6,774,51,250,650
98,1966,1966-07-27,4,1,1,17,2.57,2.57,778,52,251,667
99,1966,1966-07-29,9,0,4,2,2.59,2.59,787,52,255,669
100,1966,1966-07-30,8,1,3,4,2.6,2.6,795,53,258,673
101,1966,1966-07-31,8,0,3,6,2.6,2.6,803,53,261,679
102,1966,1966-08-01,7,0,1,11,2.58,2.58,810,53,262,690
103,1966,1966-08-02,12,2,6,5,2.62,2.62,822,55,268,695
104,1966,1966-08-03,6,1,3,9,2.63,2.63,828,56,271,704
105,1966,1966-08-04,16,0,8,3,2.68,2.68,844,56,279,707
106,1966,1966-08-05,7,1,1,12,2.67,2.67,851,57,280,719
107,1966,1966-08-06,8,1,0,7,2.64,2.64,859,58,280,726
108,1966,1966-08-07,9,0,3,0,2.64,2.64,868,58,283,726
109,1966,1966-08-08,17,1,10,4,2.71,2.71,885,59,293,730
110,1966,1966-08-09,4,2,2,9,2.71,2.71,889,61,295,739
111,1966,1966-08-10,10,1,1,6,2.7,2.7,899,62,296,745
112,1966,1966-08-12,7,0,2,10,2.69,2.69,906,62,298,755
113,1966,1966-08-13,5,0,1,11,2.67,2.67,911,62,299,766
114,1966,,13,0,3,13,2.66,2.66,924,62,302,779
115,1966,,17,1,10,4,2.73,2.73,941,63,312,783
116,1966,1966-08-15,15,0,3,4,2.73,2.73,956,63,315,787
117,1966,1966-08-16,2,0,0,8,2.71,2.71,958,63,315,795
118,1966,1966-08-17,9,0,5,5,2.72,2.72,967,63,320,800
119,1966,1966-08-18,6,0,1,8,2.71,2.71,973,63,321,808
120,1966,1966-08-19,9,0,4,7,2.72,2.72,982,63,325,815
121,1966,1966-08-20,9,2,3,10,2.71,2.71,991,65,328,825
122,1966,1966-08-21,6,0,1,10,2.7,2.7,997,65,329,835
123,1966,1966-08-22,7,1,3,6,2.69,2.69,1004,66,332,841
124,1966,1966-08-23,8,1,6,4,2.72,2.72,1012,67,338,845
125,1966,1966-08-24,4,0,1,13,2.7,2.7,1016,67,339,858
126,1966,1966-08-26,4,0,0,7,2.68,2.68,1020,67,339,865
127,1966,1966-08-27,10,2,4,6,2.69,2.69,1030,69,343,871
128,1966,1966-08-28,6,0,2,7,2.69,2.69,1036,69,345,878
129,1966,1966-08-29,11,0,3,6,2.69,2.69,1047,69,348,884
130,1966,1966-08-30,15,0,9,4,2.74,2.74,1062,69,357,888
131,1966,1966-08-31,11,0,4,6,2.76,2.76,1073,69,361,894
132,1966,1966-09-01,6,1,3,5,2.76,2.76,1079,70,364,899
133,1966,1966-09-02,3,0,1,5,2.74,2.74,1082,70,365,904
134,1966,1966-09-03,11,1,3,8,2.74,2.74,1093,71,368,912
135,1966,1966-09-04,15,2,6,7,2.77,2.77,1108,73,374,919
136,1966,1966-09-05,7,1,1,10,2.76,2.76,1115,74,375,929
137,1966,1966-09-06,15,1,6,2,2.78,2.78,1130,75,381,931
138,1966,1966-09-07,9,1,2,10,2.77,2.77,1139,76,383,941
139,1966,1966-09-09,3,0,0,5,2.75,2.75,1142,76,383,946
140,1966,1966-09-10,4,0,0,5,2.72,2.72,1146,76,383,951
141,1966,,6,0,0,6,2.71,2.71,1152,76,383,957
142,1966,,7,0,0,6,2.69,2.69,1159,76,383,963
143,1966,1966-09-12,7,0,2,11,2.68,2.68,1166,76,385,974
144,1966,1966-09-13,7,0,3,8,2.68,2.68,1173,76,388,982
145,1966,1966-09-15,5,2,3,6,2.69,2.69,1178,78,391,988
146,1966,1966-09-16,5,0,1,5,2.67,2.67,1183,78,392,993
147,1966,1966-09-17,12,2,8,6,2.71,2.71,1195,80,400,999
148,1966,1966-09-18,8,0,4,4,2.72,2.72,1203,80,404,1003
149,1966,1966-09-19,5,0,1,7,2.71,2.71,1208,80,405,1010
150,1966,1966-09-20,5,0,1,6,2.7,2.7,1213,80,406,1016
151,1966,1966-09-21,5,1,2,5,2.69,2.69,1218,81,408,1021
152,1966,,8,0,0,5,2.67,2.67,1226,81,408,1026
153,1966,,4,0,0,7,2.66,2.66,1230,81,408,1033
154,1966,1966-09-24,9,0,3,5,2.66,2.66,1239,81,411,1038
155,1966,1966-09-25,4,0,1,5,2.65,2.65,1243,81,412,1043
156,1966,1966-09-26,8,0,2,2,2.65,2.65,1251,81,414,1045
157,1966,1966-09-27,4,0,0,1,2.63,2.63,1255,81,414,1046
158,1966,1966-09-28,4,0,0,6,2.62,2.62,1259,81,414,1052
159,1966,1966-09-29,4,1,1,13,2.61,2.61,1263,82,415,1065
160,1966,1966-09-30,9,1,5,1,2.62,2.62,1272,83,420,1066
161,1966,,8,1,3,8,2.63,2.63,1280,84,423,1074
162,1966,,7,0,2,10,2.62,2.62,1287,84,425,1084
1,1967,1967-04-10,10,3,6,2,6.75,6.75,10,3,6,2
2,1967,1967-04-14,10,0,8,6,7.88,7.88,20,3,14,8
3,1967,1967-04-15,19,2,10,5,9.0,9.0,39,5,24,13
4,1967,1967-04-16,8,0,4,6,7.88,7.88,47,5,28,19
5,1967,1967-04-18,9,0,1,5,6.37,6.37,56,5,29,24
6,1967,1967-04-19,6,1,2,12,5.47,5.47,62,6,31,36
7,1967,1967-04-20,8,0,3,5,4.78,4.78,70,6,34,41
8,1967,1967-04-22,9,0,1,4,4.32,4.32,79,6,35,45
9,1967,1967-04-23,10,0,3,5,4.17,4.17,89,6,38,50
10,1967,1967-04-24,14,0,5,9,4.07,4.07,103,6,43,59
11,1967,1967-04-25,8,1,6,4,4.24,4.24,111,7,49,63
12,1967,1967-04-26,4,0,0,3,3.9,3.9,115,7,49,66
13,1967,1967-04-27,4,0,0,4,3.61,3.61,119,7,49,70
14,1967,1967-04-28,10,1,5,8,3.71,3.71,129,8,54,78
15,1967,1967-04-29,8,0,5,5,3.79,3.79,137,8,59,83
16,1967,1967-04-30,9,0,4,11,3.81,3.81,146,8,63,94
17,1967,1967-05-02,7,0,3,6,3.71,3.71,153,8,66,100
18,1967,1967-05-03,14,0,6,7,3.72,3.72,167,8,72,107
19,1967,1967-05-04,14,0,8,8,3.96,3.96,181,8,80,115
20,1967,1967-05-05,4,0,3,6,3.93,3.93,185,8,83,121
21,1967,1967-05-08,7,0,2,5,3.84,3.84,192,8,85,126
22,1967,1967-05-09,8,1,5,6,3.91,3.91,200,9,90,132
23,1967,1967-05-10,8,0,1,5,3.77,3.77,208,9,91,137
24,1967,1967-05-12,5,1,2,4,3.7,3.7,213,10,93,141
25,1967,1967-05-13,11,1,5,7,3.75,3.75,224,11,98,148
26,1967,,5,0,1,6,3.64,3.64,229,11,99,154
27,1967,,16,0,6,9,3.69,3.69,245,11,105,163
28,1967,1967-05-15,11,1,5,6,3.72,3.72,256,12,110,169
29,1967,1967-05-16,6,1,1,6,3.63,3.63,262,13,111,175
30,1967,1967-05-17,7,0,0,2,3.52,3.52,269,13,111,177
31,1967,1967-05-19,6,0,0,6,3.41,3.41,275,13,111,183
32,1967,1967-05-20,14,3,15,3,3.77,3.77,289,16,126,186
33,1967,,4,1,1,7,3.69,3.69,293,17,127,193
34,1967,,11,1,6,1,3.76,3.76,304,18,133,194
35,1967,1967-05-22,12,0,5,9,3.81,3.81,316,18,138,203
36,1967,1967-05-23,5,0,0,6,3.71,3.71,321,18,138,209
37,1967,1967-05-24,8,0,2,8,3.66,3.66,329,18,140,217
38,1967,1967-05-26,7,2,4,8,3.68,3.68,336,20,144,225
39,1967,1967-05-27,11,0,1,6,3.61,3.61,347,20,145,231
40,1967,1967-05-28,10,0,4,5,3.63,3.63,357,20,149,236
41,1967,1967-05-29,10,0,2,7,3.6,3.6,367,20,151,243
42,1967,1967-05-30,5,0,2,8,3.56,3.56,372,20,153,251
43,1967,1967-05-31,12,0,5,11,3.57,3.57,384,20,158,262
44,1967,1967-06-01,10,1,6,4,3.63,3.63,394,21,164,266
45,1967,1967-06-02,9,0,5,9,3.66,3.66,403,21,169,275
46,1967,1967-06-03,5,0,1,6,3.6,3.6,408,21,170,281
47,1967,1967-06-04,9,2,4,9,3.61,3.61,417,23,174,290
48,1967,1967-06-05,8,2,2,5,3.58,3.58,425,25,176,295
49,1967,1967-06-06,7,0,3,6,3.57,3.57,432,25,179,301
50,1967,1967-06-07,15,3,13,2,3.76,3.76,447,28,192,303
51,1967,1967-06-08,8,1,5,4,3.79,3.79,455,29,197,307
52,1967,1967-06-09,8,1,3,8,3.78,3.78,463,30,200,315
53,1967,1967-06-10,14,2,5,6,3.8,3.8,477,32,205,321
54,1967,,12,0,6,7,3.84,3.84,489,32,211,328
55,1967,,11,1,7,4,3.91,3.91,500,33,218,332
56,1967,1967-06-13,7,1,3,4,3.9,3.9,507,34,221,336
57,1967,1967-06-14,10,2,2,5,3.86,3.86,517,36,223,341
58,1967,1967-06-15,4,0,0,9,3.8,3.8,521,36,223,350
59,1967,1967-06-16,4,1,3,5,3.79,3.79,525,37,226,355
60,1967,1967-06-17,6,0,1,4,3.74,3.74,531,37,227,359
61,1967,1967-06-18,12,1,2,2,3.71,3.71,543,38,229,361
62,1967,1967-06-19,7,0,2,8,3.68,3.68,550,38,231,369
63,1967,1967-06-20,7,0,2,15,3.62,3.62,557,38,233,384
64,1967,1967-06-21,10,1,2,8,3.59,3.59,567,39,235,392
65,1967,1967-06-22,12,0,5,6,3.62,3.62,579,39,240,398
66,1967,1967-06-23,13,2,7,1,3.67,3.67,592,41,247,399
67,1967,1967-06-24,8,0,0,10,3.61,3.61,600,41,247,409
68,1967,1967-06-25,7,0,1,7,3.58,3.58,607,41,248,416
69,1967,1967-06-26,5,0,0,5,3.52,3.52,612,41,248,421
70,1967,1967-06-27,2,0,0,11,3.47,3.47,614,41,248,432
71,1967,1967-06-28,7,1,4,8,3.48,3.48,621,42,252,440
72,1967,1967-06-29,18,3,13,4,3.62,3.62,639,45,265,444
73,1967,1967-06-30,9,0,4,5,3.62,3.62,648,45,269,449
74,1967,1967-07-01,11,1,4,8,3.63,3.63,659,46,273,457
75,1967,1967-07-02,13,0,5,7,3.65,3.65,672,46,278,464
76,1967,1967-07-03,11,1,4,5,3.66,3.66,683,47,282,469
77,1967,1967-07-04,16,2,8,1,3.72,3.72,699,49,290,470
78,1967,1967-07-05,7,1,3,7,3.71,3.71,706,50,293,477
79,1967,1967-07-07,5,1,2,9,3.7,3.7,711,51,295,486
80,1967,1967-07-08,8,3,8,3,3.76,3.76,719,54,303,489
81,1967,1967-07-09,9,0,1,7,3.72,3.72,728,54,304,496
82,1967,1967-07-13,8,0,2,7,3.7,3.7,736,54,306,503
83,1967,1967-07-14,6,0,1,6,3.67,3.67,742,54,307,509
84,1967,1967-07-15,5,0,1,10,3.63,3.63,747,54,308,519
85,1967,,9,0,4,2,3.64,3.64,756,54,312,521
86,1967,,12,2,6,8,3.67,3.67,768,56,318,529
87,1967,,9,1,4,3,3.67,3.67,777,57,322,532
88,1967,,6,0,1,6,3.64,3.64,783,57,323,538
89,1967,1967-07-19,8,0,1,4,3.61,3.61,791,57,324,542
90,1967,1967-07-20,12,2,9,7,3.67,3.67,803,59,333,549
91,1967,1967-07-21,6,0,0,8,3.63,3.63,809,59,333,557
92,1967,1967-07-22,10,1,3,7,3.62,3.62,819,60,336,564
93,1967,1967-07-23,7,1,2,7,3.61,3.61,826,61,338,571
94,1967,1967-07-24,11,0,3,3,3.6,3.6,837,61,341,574
95,1967,1967-07-25,7,0,1,8,3.58,3.58,844,61,342,582
96,1967,1967-07-26,8,1,4,7,3.58,3.58,852,62,346,589
97,1967,1967-07-27,12,0,6,8,3.6,3.6,864,62,352,597
98,1967,1967-07-28,7,0,0,5,3.56,3.56,871,62,352,602
99,1967,1967-07-29,8,0,1,9,3.54,3.54,879,62,353,611
100,1967,1967-07-30,8,0,0,7,3.5,3.5,887,62,353,618
101,1967,1967-07-31,9,1,4,11,3.5,3.5,896,63,357,629
102,1967,1967-08-01,9,0,2,6,3.48,3.48,905,63,359,635
103,1967,1967-08-02,6,1,2,9,3.46,3.46,911,64,361,644
104,1967,1967-08-04,8,0,2,5,3.45,3.45,919,64,363,649
105,1967,1967-08-05,6,0,2,1,3.44,3.44,925,64,365,650
106,1967,1967-08-06,10,0,2,2,3.43,3.43,935,64,367,652
107,1967,1967-08-07,12,0,4,5,3.43,3.43,947,64,371,657
108,1967,1967-08-08,6,0,2,5,3.42,3.42,953,64,373,662
109,1967,1967-08-09,11,2,2,6,3.4,3.4,964,66,375,668
110,1967,1967-08-10,10,0,2,5,3.39,3.39,974,66,377,673
111,1967,1967-08-11,8,0,0,5,3.36,3.36,982,66,377,678
112,1967,1967-08-12,7,0,3,3,3.36,3.36,989,66,380,681
113,1967,1967-08-13,9,1,3,3,3.36,3.36,998,67,383,684
114,1967,1967-08-15,9,0,2,5,3.34,3.34,1007,67,385,689
115,1967,1967-08-16,4,0,1,3,3.32,3.32,1011,67,386,692
116,1967,1967-08-17,11,0,4,5,3.33,3.33,1022,67,390,697
117,1967,1967-08-18,7,1,1,9,3.31,3.31,1029,68,391,706
118,1967,1967-08-19,10,1,3,7,3.31,3.31,1039,69,394,713
119,1967,1967-08-20,9,0,1,9,3.29,3.29,1048,69,395,722
120,1967,1967-08-21,4,0,0,12,3.26,3.26,1052,69,395,734
121,1967,1967-08-22,12,0,3,5,3.26,3.26,1064,69,398,739
122,1967,1967-08-23,3,0,0,6,3.23,3.23,1067,69,398,745
123,1967,1967-08-24,10,0,3,5,3.23,3.23,1077,69,401,750
124,1967,,9,0,1,8,3.21,3.21,1086,69,402,758
125,1967,,8,1,3,6,3.21,3.21,1094,70,405,764
126,1967,1967-08-26,13,0,1,7,3.18,3.18,1107,70,406,771
127,1967,1967-08-27,11,0,6,1,3.21,3.21,1118,70,412,772
128,1967,1967-08-28,8,0,7,4,3.24,3.24,1126,70,419,776
129,1967,1967-08-29,16,1,11,8,3.3,3.3,1142,71,430,784
130,1967,1967-08-30,7,0,3,5,3.3,3.3,1149,71,433,789
131,1967,1967-08-31,7,1,3,4,3.3,3.3,1156,72,436,793
132,1967,1967-09-01,11,1,4,3,3.3,3.3,1167,73,440,796
133,1967,1967-09-02,12,0,4,4,3.31,3.31,1179,73,444,800
134,1967,1967-09-03,11,2,7,5,3.34,3.34,1190,75,451,805
135,1967,,10,1,2,3,3.33,3.33,1200,76,453,808
136,1967,,9,2,5,9,3.34,3.34,1209,78,458,817
137,1967,1967-09-06,9,1,3,5,3.34,3.34,1218,79,461,822
138,1967,1967-09-07,6,1,2,6,3.32,3.32,1224,80,463,828
139,1967,1967-09-08,7,1,2,7,3.31,3.31,1231,81,465,835
140,1967,1967-09-09,10,2,5,4,3.32,3.32,1241,83,470,839
141,1967,,4,0,1,2,3.31,3.31,1245,83,471,841
142,1967,,6,1,1,6,3.29,3.29,1251,84,472,847
143,1967,1967-09-11,11,1,4,2,3.29,3.29,1262,85,476,849
144,1967,1967-09-12,10,1,4,6,3.3,3.3,1272,86,480,855
145,1967,1967-09-13,5,1,3,10,3.29,3.29,1277,87,483,865
146,1967,,5,0,0,9,3.27,3.27,1282,87,483,874
147,1967,,6,0,0,5,3.25,3.25,1288,87,483,879
148,1967,1967-09-16,11,1,8,10,3.28,3.28,1299,88,491,889
149,1967,1967-09-17,10,2,4,7,3.29,3.29,1309,90,495,896
150,1967,1967-09-18,9,0,4,5,3.29,3.29,1318,90,499,901
151,1967,1967-09-19,9,0,6,3,3.31,3.31,1327,90,505,904
152,1967,1967-09-20,14,0,3,4,3.31,3.31,1341,90,508,908
153,1967,1967-09-22,5,1,1,5,3.3,3.3,1346,91,509,913
154,1967,1967-09-23,9,0,3,3,3.29,3.29,1355,91,512,916
155,1967,1967-09-24,11,1,3,6,3.29,3.29,1366,92,515,922
156,1967,1967-09-25,13,0,2,8,3.28,3.28,1379,92,517,930
157,1967,1967-09-26,9,0,1,9,3.26,3.26,1388,92,518,939
158,1967,1967-09-27,5,0,1,8,3.25,3.25,1393,92,519,947
159,1967,1967-09-28,5,0,0,3,3.23,3.23,1398,92,519,950
160,1967,1967-09-29,11,0,2,4,3.22,3.22,1409,92,521,954
161,1967,1967-09-30,10,1,4,6,3.23,3.23,1419,93,525,960
162,1967,1967-10-01,2,0,1,7,3.21,3.21,1421,93,526,967
1,1968,1968-04-10,7,0,2,1,2.0,2.0,7,0,2,1
2,1968,1968-04-11,7,0,2,7,2.0,2.0,14,0,4,8
3,1968,1968-04-13,4,0,0,7,1.33,1.33,18,0,4,15
4,1968,1968-04-14,9,1,3,2,1.75,1.75,27,1,7,17
5,1968,1968-04-15,6,0,1,6,1.6,1.6,33,1,8,23
6,1968,1968-04-16,10,0,3,5,1.83,1.83,43,1,11,28
7,1968,1968-04-17,5,1,3,6,2.03,2.03,48,2,14,34
8,1968,1968-04-19,6,1,1,8,1.9,1.9,54,3,15,42
9,1968,1968-04-20,2,1,3,12,2.05,2.05,56,4,18,54
10,1968,,13,2,6,10,2.45,2.45,69,6,24,64
11,1968,,8,2,2,5,2.41,2.41,77,8,26,69
12,1968,1968-04-22,3,0,1,7,2.29,2.29,80,8,27,76
13,1968,1968-04-24,4,0,1,6,2.21,2.21,84,8,28,82
14,1968,1968-04-26,10,0,1,6,2.12,2.12,94,8,29,88
15,1968,1968-04-27,7,2,3,6,2.2,2.2,101,10,32,94
16,1968,1968-04-28,12,1,6,5,2.46,2.46,113,11,38,99
17,1968,1968-04-29,6,0,2,6,2.43,2.43,119,11,40,105
18,1968,1968-04-30,7,0,1,11,2.35,2.35,126,11,41,116
19,1968,1968-05-01,15,0,7,3,2.6,2.6,141,11,48,119
20,1968,1968-05-02,10,0,1,4,2.41,2.41,151,11,49,123
21,1968,1968-05-03,7,1,2,5,2.39,2.39,158,12,51,128
22,1968,1968-05-04,7,0,2,5,2.37,2.37,165,12,53,133
23,1968,1968-05-05,11,0,2,7,2.28,2.28,176,12,55,140
24,1968,1968-05-07,7,0,1,6,2.23,2.23,183,12,56,146
25,1968,1968-05-08,13,2,7,2,2.42,2.42,196,14,63,148
26,1968,1968-05-09,3,0,0,5,2.33,2.33,199,14,63,153
27,1968,1968-05-10,8,0,1,3,2.29,2.29,207,14,64,156
28,1968,1968-05-11,12,3,5,8,2.4,2.4,219,17,69,164
29,1968,1968-05-12,7,0,0,8,2.29,2.29,226,17,69,172
30,1968,1968-05-13,6,1,5,8,2.38,2.38,232,18,74,180
31,1968,1968-05-14,2,0,0,7,2.3,2.3,234,18,74,187
32,1968,1968-05-15,9,0,5,1,2.39,2.39,243,18,79,188
33,1968,1968-05-16,8,0,1,6,2.35,2.35,251,18,80,194
34,1968,1968-05-17,2,0,0,8,2.28,2.28,253,18,80,202
35,1968,1968-05-18,5,0,0,6,2.22,2.22,258,18,80,208
36,1968,,10,1,2,4,2.21,2.21,268,19,82,212
37,1968,,7,1,3,7,2.23,2.23,275,20,85,219
38,1968,1968-05-20,8,0,2,3,2.23,2.23,283,20,87,222
39,1968,1968-05-21,7,0,2,10,2.23,2.23,290,20,89,232
40,1968,1968-05-22,5,0,0,8,2.17,2.17,295,20,89,240
41,1968,1968-05-23,13,0,2,9,2.16,2.16,308,20,91,249
42,1968,1968-05-24,11,1,7,8,2.26,2.26,319,21,98,257
43,1968,1968-05-25,9,0,3,6,2.28,2.28,328,21,101,263
44,1968,1968-05-26,6,0,0,6,2.23,2.23,334,21,101,269
45,1968,1968-05-27,16,0,7,2,2.34,2.34,350,21,108,271
46,1968,1968-05-28,13,0,7,6,2.45,2.45,363,21,115,277
47,1968,1968-05-29,12,0,5,9,2.5,2.5,375,21,120,286
48,1968,1968-05-30,9,1,3,2,2.51,2.51,384,22,123,288
49,1968,1968-05-31,6,0,0,7,2.46,2.46,390,22,123,295
50,1968,1968-06-01,8,0,1,7,2.43,2.43,398,22,124,302
51,1968,1968-06-02,13,0,5,4,2.48,2.48,411,22,129,306
52,1968,1968-06-03,7,0,0,6,2.44,2.44,418,22,129,312
